c1_PR1;49.560691;3.726865
c1_PR2;49.560761;3.72602
c1_PR3;49.560724;3.726424
c2_PR1;49.560604;3.727864
c2_PR2;49.560673;3.727048
c2_PR3;49.560641;3.727467
c3_PR1;49.560513;3.728851
c3_PR2;49.560597;3.727902
c3_PR3;49.560558;3.728314
c4_PR1;49.560424;3.729758
c4_PR2;49.560502;3.728918
c4_PR3;49.560461;3.72933
c5_PR1;49.560338;3.7308
c5_PR2;49.560413;3.72989
c5_PR3;49.560373;3.73037
c6_PR1;49.560299;3.731329
c6_PR2;49.56033;3.730931
c6_PR3;49.560316;3.731126
c7_PR1;49.560246;3.731849
c7_PR2;49.560286;3.731434
c7_PR3;49.560271;3.73163
c8_PR1;49.560033;3.732827
c8_PR2;46.560241;3.731968
c8_PR3;49.560206;3.732408
c9_PR1;49.560136;3.733759
c9_PR2;49.559985;3.732875
c9_PR3;49.560167;3.733388
c10_PR1;49.560009;3.734816
c10_PR2;49.560116;3.733959
c10_PR3;49.560056;3.734382
c11_PR1;49.559931;3.735694
c11_PR2;49.559988;3.735048
c11_PR3;49.559968;3.73527
c12_PR1;49.559848;3.736712
c12_PR2;49.559916;3.73589
c12_PR3;49.559883;3.736291
